xorazmcha;adabiycha;turkumi;xorazmcha;adabiycha;ko`plik/birlik;egalik/shaxs-son;zamon;kelishik
Mol;Sigir;;;;;;;
Monti;Manti;;;;;;;
Mo?chchi;Chiroyli;;;;;;;
Musr;Ahmoq;;;;;;;
Morri;Muzqaymoq;;;;;;;
Moxluq;Maxluq;;;;;;;
Mejina;Danak;;;;;;;
Moymil;Maymun;;;;;;;
Meyr;Mehr;;;;;;;
Mazzi;Mazali;;;;;;;
Mizziq;Yeg?loq;;;;;;;
Meyirsiz;Mehrsiz;;;;;;;
Minjiq;Munjoq;;;;;;;
Makkam;Mahkam;;;;;;;
Meylis;Majlis;;;;;;;
Menat;Mehnat;;;;;;;
Man;Men;;;;;;;
Majit;Masjid;;;;;;;
Mashova;Moshho?rda;;;;;;;
Moqoron;Makaron;;;;;;;
Mitti;Kichgina;;;;;;;
Meda;Mayda;;;;;;;
MovNOUN;Maqtanish;;;;;;;
Mirin;Burun;;;;;;;
No?qan;Ipak qurti;;;;;;;
Nishatamiz;Nima qilamiz;;;;;;;
Nomoz;Namoz;;;;;;;
Na gap;Nima gap;;;;;;;
Nax;Ip;;;;;;;
Nuqto;Nuqta;;;;;;;
Nalichi;Naxt;;;;;;;
Nichcha;Nechta;;;;;;;
NoshvNOUNi;Nok;;;;;;;
Neri;Qayeri;;;;;;;
Nervinniy;Asabiy;;;;;;;
Nervimni chiqarma;Asabimga o?ynama;;;;;;;
Nerda;Qayerda;;;;;;;
Nera;Qayerga;;;;;;;
Naushnik;Quloqchin;;;;;;;
Nadagan;Namuncha;;;;;;;
Nisholla;Nisholda;;;;;;;
Novont;NovvNOUN;;;;;;;
Novvi bo?ldi;Nima bo?ldi;;;;;;;
Nishatti;Nima qildi;;;;;;;
Nat;Bir nima qil;;;;;;;
Nalima;Nolinma;;;;;;;
Noyimit;Noumid;;;;;;;
Nohuna;Ko‘r;;;;;;;
NaborNOUN;Teskarisiga;;;;;;;
Novvi;Nima;;;;;;;
Niko;Nikoh;;;;;;;
Nuqul;Shirinlik;;;;;;;
Nachun dasa;Nima sababdan;;;;;;;
No?sh;Nish;;;;;;;
No?sh piyoz;Ko?k piyoz;;;;;;;
Nishatin;Nima qilay;;;;;;;
Nishatting;Nima qilding;;;;;;;
Obdasta;Tahorat idishi;;;;;;;
Obqira;Ikki chel(marza)orasi;;;;;;;
Ovuz;Og?iz ;;;;;;;
Ovurt;Lunj;;;;;;;
Odil;Adolatli;;;;;;;
Ordona;Hayf;;;;;;;
Orja;"Sandiq
";;;;;;;
Oxshom;Kecha ;;;;;;;
Oshirma bo‘z ayil;bo‘z mato;;;;;;;
Oshoq;Past;;;;;;;
Oqvosh;Oqbosh;;;;;;;
Oqqurd;Etik;;;;;;;
Og?a;Aka;;;;;;;
Olmo;Olma;;;;;;;
NOUNo;NOUNa;;;;;;;
Onovi;Anavi;;;;;;;
Oboy;Gulqog?oz;;;;;;;
Ori;Ari;;;;;;;
Oyq;Ayiq;;;;;;;
Opoq-chopoq;Ahil;;;;;;;
Og?z;Og?iz;;;;;;;
Obdullo;Abdulla;;;;;;;
NOUNoyo?l;Avtobus;;;;;;;
Odom;Odam;;;;;;;
Oyt;Ayt;;;;;;;
Oytmo;Aytma;;;;;;;
Opshiy;Hamma;;;;;;;
Orriq;Ozg?in;;;;;;;
Oroq;Aroq;;;;;;;
Orqo;Orqa;;;;;;;
Onqov;Anqav;;;;;;;
Ohtiq;Nabira;;;;;;;
Opo;Ona,oyi,opa;;;;;;;
Osvolt;Asfalt;;;;;;;
Oston;Sekin;;;;;;;
Oxiri;So?ngi;;;;;;;
Oyno;Deraza;;;;;;;
Oyno;Oyna;;;;;;;
Olm;Olim;;;;;;;
Ollo;Alla;;;;;;;
Oydin;Yaxshi;;;;;;;
Ono;Ana;;;;;;;
Oymomo;Oymoma;;;;;;;
Ojji;Achchiq;;;;;;;
Oldomo;Aldama;;;;;;;
Oldoqchi;Aldoqchi;;;;;;;
OngsNOUN;Oson;;;;;;;
Ongi pas;Ongsiz;;;;;;;
Oxshom;Kecha;;;;;;;
Olloh;Alloh;;;;;;;
Oqilli;Aqilli;;;;;;;
Paki, Poki;Ustara;;;;;;;
Palid;Yaramas;;;;;;;
Patik;Shift;;;;;;;
Patrak;Kulcha;;;;;;;
Patrat;Chalkash;;;;;;;
Pashmak;Shirinlik;;;;;;;
Paqlama;Shirinlik;;;;;;;
Peykol;Xabarchi;;;;;;;
Piyova;Suyuq ovqat;;;;;;;
Pitta;Ozgina;;;;;;;
Pishang;O ‘q gilzasi;;;;;;;
Pushta;Qovun;;;;;;;
Peshin;Tushdan keyin;;;;;;;
Pomodr;Pomidor;;;;;;;
Pilak;Bidon;;;;;;;
Peshkom;Piyoda;;;;;;;
Prikaz;Buyruq;;;;;;;
PNOUNloq;Baqrayib;;;;;;;
Podliva;Murabbo;;;;;;;
PNOUNlayib;Bezrayib;;;;;;;
Pangngi;Sodda;;;;;;;
Palpis;Befarosat;;;;;;;
Pasuda;Idish-tovoq;;;;;;;
Plesos;Changyutkich;;;;;;;
Polos;Gilam;;;;;;;
Pas;Past ketish;;;;;;;
Paloviq;Xato;;;;;;;
Paxta qo?yish;Laganbardorlik qilish;;;;;;;
Po?chka;Buyrak;;;;;;;
Puchoq;Pichoq;;;;;;;
Pustoy;Bo?sh;;;;;;;
Patirdi;Shovqin;;;;;;;
Piyon;Mast;;;;;;;
Parrik;Farik;;;;;;;
PNOUNinka;Suv etik;;;;;;;
Patak;Mex;;;;;;;
Piyatki;Kalta paypoq;;;;;;;
Po?kki;Semiz;;;;;;;
Pingving;Pingivin;;;;;;;
Plimen;Chuchvara;;;;;;;
Pisirdama;Qisirdama;;;;;;;
Pol tryapka;Po?l latta;;;;;;;
Piyaz;Piyoz;;;;;;;
Pechina;Pishiriq;;;;;;;
Po?mpi;Po?mpaloq;;;;;;;
Po?ssiq;Bo?g?irsoq;;;;;;;
Pam-parosat;Fahm-farosat;;;;;;;
Pushmon;Pushaymon;;;;;;;
Pishma;Kuyma;;;;;;;
Pishiq;Mushuk;;;;;;;
Polov;Osh;;;;;;;
Poltun;Polto;;;;;;;
Peshona;Pashshaxona;;;;;;;
PNOUNti-putti;Ashqol-dashqol;;;;;;;
pushti;Ko ‘chmachi dallol;;;;;;;
Po ‘rtaki;Betga chopar;;;;;;;
Qorinja;Chumoli;;;;;;;
Qost;Qasd;;;;;;;
Qo?ngishi;Qo?shni;;;;;;;
Qulibnika;Qulpnoy;;;;;;;
Qoling;Qalin;;;;;;;
Qulp;Qulf;;;;;;;
Qopil;Jimbo?l;;;;;;;
Qoyin;Moyin;;;;;;;
Qoyin;Qayni;;;;;;;
Qoxshop;Baqirib;;;;;;;
Qullop;Qulf;;;;;;;
Qoymoq;Qaymoq;;;;;;;
Qorindosh;Qarindosh-urug?;;;;;;;
Qo?chchi;Qo?chqor;;;;;;;
Qochib;Qochish;;;;;;;
Qaynna;Qaynona;;;;;;;
Qopi;Eshik;;;;;;;
Qont;Konfet;;;;;;;
Qorri;Qari;;;;;;;
Qomish;Qamish;;;;;;;
QNOUNti;Qattiq;;;;;;;
Qarton;Karton;;;;;;;
Qiliq;Odat;;;;;;;
Qildin;Nozik;;;;;;;
Qil;Soch tolasi;;;;;;;
Qodim;Qadim;;;;;;;
Qizyingnar;Qizyig?in;;;;;;;
Qormo;Shavla;;;;;;;
Qonodi;Qon ketti;;;;;;;
Qossop;Qushxona;;;;;;;
Qossop;Qassob;;;;;;;
Qumpishik;Sahro mushugi;;;;;;;
Qujoqlosh;Achomlash;;;;;;;
Qorma bilomiq;Atala;;;;;;;
Qo?noq;Qozg?oq;;;;;;;
Qisir;Tug?maydigan;;;;;;;
QNOUNti qo?rdoq;Jizza;;;;;;;
Qordo?q;Dimlama;;;;;;;
Qizg?onch;Qizg?anchiq;;;;;;;
Qo?rg?a;Qovirg?a;;;;;;;
Qayish;Remen;;;;;;;
Qiyindiq;Mato qoldiqlari;;;;;;;
Ququrus;Makka yormasi;;;;;;;
Qiyo;Qiya;;;;;;;
Qurjoq;Qo?g?irchoq;;;;;;;
Qolom;Qalam;;;;;;;
Qoshiloq;Hamyon;;;;;;;
Qoyir;Qayirmoq;;;;;;;
Qoro;Qora;;;;;;;
Qoro;Qaramoq;;;;;;;
Qur;Ip;;;;;;;
Qoytordi;Qusdi;;;;;;;
Qopoq;Qovog?;;;;;;;
QNOUNor;Qator;;;;;;;
Quri;Quruq;;;;;;;
QNOUNiq;Qatiq;;;;;;;
Qopil;Og?zingni yum;;;;;;;
Quruto?y;Kelishgan;;;;;;;
QNOUNlomo;Qatlama;;;;;;;
Qomish;Qamish;;;;;;;
Qistog?li;Shoshilinch;;;;;;;
Qistondi;Shoshildi;;;;;;;
Qisliqdi;Siqildi;;;;;;;
Qishiq;Qiyshiq;;;;;;;
Qomoq;Qamoqxona;;;;;;;
Qoppoq;Qopqoq;;;;;;;
Qormoq;Qarmoq;;;;;;;
Qurvoqqo;Qurbaqa;;;;;;;
Qosom;Qasam;;;;;;;
QNOUNnosh;Qatnash;;;;;;;
QNOUNnosh;Borib kelish;;;;;;;
Qolpoq;Qoraqolpoqlik;;;;;;;
Qoyiq;Qayiq;;;;;;;
Qoyt;Qayt;;;;;;;
Qozish;Qazish;;;;;;;
Qoytim;Chaqa;;;;;;;
Qimirlomo;Qimirlama;;;;;;;
Qoltitash;Titrash;;;;;;;
Qonni;Qorni;;;;;;;
Qost;Qasam;;;;;;;
Qomputer;Kompyuter;;;;;;;
Qorg?osh;So?kish;;;;;;;
Qo?ysanga;Qo?ysangchi;;;;;;;
Qilchiq;Qiltanoq;;;;;;;
Qorom;Qaram;;;;;;;
Qiziqchi;Hazilkash;;;;;;;
Qonqayb;Gerdayib;;;;;;;
Qostina;Ataylab;;;;;;;
Quyruq;Dum;;;;;;;
Qoni;Qani;;;;;;;
Qomosh;Qamash;;;;;;;
Qombo?t;Sharbat;;;;;;;
Qoltis;Xavfli;;;;;;;
QomNOUN;Qamat;;;;;;;
Qorojiq;Qorachiq;;;;;;;
Qadr;Qadir;;;;;;;
Qistag?li;Shoshilinch;;;;;;;
Qumirsqa;Hasharot;;;;;;;
